price_id,medicine_id,package_id,amount,currency,price_basis,price_original,source_record_id,price_source,price_status,price_basis_verified,price_current_verified,price_comparison_eligible,savings_calculation_eligible
PRICE-aeff33689644cc874afaeb49,MED-5fb450b3fcbb1c48e69764fa,PKG-0fc76e44398dfb9c67de9fc3,8.00,BDT,UNIT,"Unit Price: ৳ 8.00,(30's pack: ৳ 240.00),",SRCM-66e59a2fef91f7d1615e3ef1,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-aeffb3305ab7617e31415005,MED-4483b00a555c4fe61e60c9aa,PKG-56d5f0b69a4aa79c68b75126,7.00,BDT,UNIT,"Unit Price: ৳ 7.00,(30's pack: ৳ 210.00),",SRCM-cb09470012f2c9cb498d80d8,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
PRICE-aeffee57cc18da410036ab19,MED-25b5da60969b3d58eeb49f90,PKG-a8776ab85778a4680febdbe9,35.00,BDT,UNIT,"Unit Price: ৳ 35.00,(12's pack: ৳ 420.00),",SRCM-2b9a7fad318b4967d8d65baa,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af017c8d8486caa3b490e352,MED-81c981647b4fd9b2939d8625,PKG-9f86a655131f8d2e60d57972,320.00,BDT,PACKAGE,"Unit Price: ৳ 16.00,(20's pack: ৳ 320.00),",SRCM-853a121987037f85ff28f4c6,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af01a19ed54a4b2423063e7c,MED-f083183359b41f1267a4a44c,,870.00,BDT,UNKNOWN,870.00 Tk,SRCR-b6b748cf0c45bc3dcf3d62c4,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af026f0cdbda4f056be85df3,MED-74f17a4b115dbdf806d1f0c5,,120.00,BDT,UNKNOWN,120.00 Tk,SRCR-aa2592eb9ff125e42c78c8fd,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af037d223a50d8982b563992,MED-ba09fe4ada756638b741ef6d,,10.00,BDT,UNKNOWN,10.00 Tk,SRCR-a52c23400be8220aab9c6c5c,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af03a5bd97fa6a2900a082d0,MED-3c8739d14eb8a710030a9986,PKG-cf9bdbb2230d30e573c69ba2,3.00,BDT,UNIT,"Unit Price: ৳ 3.00,(20's pack: ৳ 60.00),",SRCM-b25c145642ea834e383e9eaf,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af03ebb2143f224613f8df6b,MED-1064d4ff9f68c66e87725bfe,PKG-c224cdb3f4bae25be8c9fc65,60.00,BDT,PACKAGE,"Unit Price: ৳ 2.00,(30's pack: ৳ 60.00),",SRCM-b1b2c72616f1ccdc86bb7aa4,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af069fca6cdcc9276948fcf2,MED-e839030687b26cbb962f42cf,,75.23,BDT,UNKNOWN,75.23 Tk,SRCR-5e690acb252cf7ce314295ca,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af06cd2905e3eff408fc8131,MED-beda03072183a3173bbbd139,,20.73,BDT,UNKNOWN,20.73 Tk,SRCR-47958c021c4e2dc85ce946a1,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af0719989ab3f8021219e90b,MED-702b843c19f60f7b09018d50,,40.00,BDT,UNKNOWN,40.00 Tk,SRCR-27094834d528fdd6bd746d57,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af07d869485e6c8a0dc97fe8,MED-36ffdbbf521ec2e9e0b01c12,,,,UNKNOWN,0,SRCR-f4d652c3a8537bd17cb3e008,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af085b7e0377a060364cd82b,MED-8616bd2c8f07f3b022ffd4cd,PKG-93c22c25b7aa16d477d0239f,151.28,BDT,PACKAGE,"Unit Price: ৳ 5.04,(30's pack: ৳ 151.28),",SRCM-2c47cd74e0bcfe30e5c90e45,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
PRICE-af095b96d272a0208b05ade5,MED-8102181bb3bf4f9ad04631ff,PKG-05e5963523c00eff430c0dbb,4.00,BDT,UNIT,"Unit Price: ৳ 4.00,(100's pack: ৳ 400.00),",SRCM-69d04f3e615f0c311598b619,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af0abc58ef55f232b07948ac,MED-b6333f685b8c26729a6da0f6,PKG-d0e137245cb10613dfd3e047,100.00,BDT,UNIT,"Unit Price: ৳ 100.00,(50's pack: ৳ 5,000.00),",SRCM-0169558a6bab11ed9a6b1e18,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af0b684733e5d9a97d71d956,MED-9158d9f96f439f89b6dbe84c,PKG-d817067792377295efbed7ea,9.00,BDT,UNIT,"Unit Price: ৳ 9.00,(30's pack: ৳ 270.00),",SRCM-40d8fd8bdd39f450945f42b3,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af0b748bf66fe66c0807173c,MED-7c1229d966b53d05ea9b93b2,,6.00,BDT,UNKNOWN,6.00 Tk,SRCR-361fa0f96dcd8fe643cc50e1,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af0c0e69502e5fa7a5e3d2c2,MED-f341b645f60cb41d1c45dcd0,PKG-bbd6bd1a9f5df2b7db6e094f,1003.00,BDT,UNKNOWN,"1 gm vial: ৳ 1,003.00",SRCM-0cce76236bdefbd206f05577,MARKET_DATASET,DATASET_DERIVED,0,0,0,0
PRICE-af0da2e6572d52a29a85fbec,MED-5bb761d2152432a4e927ca79,,8.00,BDT,UNKNOWN,8.00 Tk,SRCR-0b760e1db43c727194cdc3b8,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af0dca1de2315311a90e7502,MED-0b03be2e804784107f4d7f89,PKG-27da089deccfe7b73c355b69,37.60,BDT,PACKAGE,200 ml bottle: ৳ 37.60,SRCM-f147e353ca9ff3c5f9a7f974,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af0e2a593b224f5899376a5e,MED-10062bc89261f28ff46fe85a,PKG-876f09367b5875b3dcec2e94,175.42,BDT,PACKAGE,"Unit Price: ৳ 3.51,(50's pack: ৳ 175.42),",SRCM-02a21183bcb145b14fee59c6,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af0ed0acd411a9685d1c34f6,MED-c97aa99c42927f520d790d9e,PKG-4c5974b6b6cd8403ec81b74c,22.74,BDT,PACKAGE,12 ml bottle: ৳ 22.74,SRCM-3b91ce45dd831c45f6dd99e8,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af0f28f1cb13b96b022a40f7,MED-3b693408915d5ef7562b6682,PKG-9507abbeac755c5fd54b7471,250.00,BDT,PACKAGE,"Unit Price: ৳ 5.00,(50's pack: ৳ 250.00),",SRCM-c9394cb7120138bf198ed13a,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
PRICE-af0fce272fb214f349475ea4,MED-80ee1e2680d9eb224dac5ee8,PKG-5b9d7f6fc6fbcf30f2aca1ef,73.60,BDT,PACKAGE,"250 ml bag: ৳ 55.20,500 ml bag: ৳ 73.60",SRCM-670e8e13814a1a5d9f821f04,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af11020dc897d2de52b18974,MED-4fe6ca010823021b4281e71c,PKG-bab05bbfbc093942a404eaca,424.00,BDT,PACKAGE,"60 ml bottle: ৳ 70.00,100 ml bottle: ৳ 140.00,200 ml bottle: ৳ 230.00,450 ml bottle: ৳ 424.00",SRCM-8b3ce96c3b293cbfaaf74a58,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af132c1973f6e217ed8142ed,MED-85f138efc02724652e9fbc05,,575.00,BDT,UNKNOWN,575.00 Tk,SRCR-6a6faa48c62c9fa03d2fe59f,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af135f5b8eedcc21f5888877,MED-94e526bcafd9864bbf59b562,PKG-8d9d9ab66cbffd1f163bba78,150.50,BDT,PACKAGE,"Unit Price: ৳ 3.01,(50's pack: ৳ 150.50),",SRCM-5d9988d4d1a8e781b1987258,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af143e8ec533b9ffe7346738,MED-7b7266667df1293908804c37,PKG-2291b8f6d4797e266e0e8a52,8.00,BDT,UNIT,"Unit Price: ৳ 8.00,(30's pack: ৳ 240.00),",SRCM-3f1fdb2a885b02ba6764f169,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
