source_record_id,medicine_id,source_name,source_row_number,outcome,reason_codes
SRCM-35ef8b5c1b7a2d89508ed63a,MED-cf1db8f3f3d502c361fe4f41,MARKET,56,UNMATCHED_VALID,
SRCM-34310396191e7ae5a7e1c16d,MED-85ae14204a56895ea2558490,MARKET,57,UNMATCHED_VALID,
SRCM-6569a1c318fb79e9899424d5,MED-68c3fb62c86be6a5c212c317,MARKET,58,UNMATCHED_VALID,
SRCM-da1f2566489e9b590fd872a7,MED-fd284566f6c2d8768d1088a1,MARKET,59,UNMATCHED_VALID,
SRCM-8c94c76b8441c6c509efa9f2,MED-7c28fc436529cf5e174a7081,MARKET,60,UNMATCHED_VALID,
SRCM-829883a9da7303e69ec3850b,MED-587d174a0b70ca5e7e315f57,MARKET,61,UNMATCHED_VALID,
SRCM-0c426952b309f12dd78f604d,MED-ba325ed05eab172058d4bc9c,MARKET,62,UNMATCHED_VALID,
SRCM-dc9d9476a721b44dfb4c067c,MED-1a075573a2a0f71f1d2b108e,MARKET,64,UNMATCHED_VALID,
SRCM-4a9ad384c4c8dbc231a221b8,MED-dca2460f9d9216d5968fc9e3,MARKET,65,UNMATCHED_VALID,
SRCM-f8d226e6dedbae5afe018668,MED-27099c2cf4e77ff9abcfd2f0,MARKET,66,UNMATCHED_VALID,
SRCM-4c3e873f4958eb2d028d3b1f,MED-d22ae967a2228b67ebfab4b9,MARKET,67,UNMATCHED_VALID,
SRCM-d5009c9cd99064a649cd2b76,MED-cbafae342d4e393ab24b9d43,MARKET,68,UNMATCHED_VALID,
SRCM-546be716858454e0e1c64586,MED-5e6633c1665bc6e657fb58e4,MARKET,69,UNMATCHED_VALID,
SRCM-14d7785c6ca2a3ae61ca18dc,MED-d64cf92b6ac5c1b35e46c788,MARKET,70,UNMATCHED_VALID,
SRCM-9841b233ee7ef9f3f800daac,MED-b7b582e7b8bdf09d84f3de8c,MARKET,72,UNMATCHED_VALID,
SRCM-ca7c037b589d5f40960f0c3e,MED-3dc4ef385e12ab66e060c5dc,MARKET,73,UNMATCHED_VALID,
SRCM-372f516aa7ef3b8404c8ef7c,MED-95761614aeac9c62c145b184,MARKET,74,UNMATCHED_VALID,
SRCM-b77a16faf2b0edf551cf52f6,MED-8021f3147cb7d109c248b00a,MARKET,75,UNMATCHED_VALID,
SRCM-39a376ef2096e7be7c986548,MED-e4980e99c21832f73c9f6132,MARKET,76,UNMATCHED_VALID,
SRCM-d49ffa52dcc4590967f3f9a4,MED-d485640117cb1e330393d89b,MARKET,77,UNMATCHED_VALID,
SRCM-b15b631c855eb160e69b3a5a,MED-000d472afcd49152878aa345,MARKET,78,UNMATCHED_VALID,
SRCM-863992d627134cc534807cfc,MED-2e88bf8a635f331964827d08,MARKET,79,UNMATCHED_VALID,
SRCM-0b34db07e6b1c0d595860c20,MED-ba065851b855629bb7e857ca,MARKET,80,UNMATCHED_VALID,
SRCM-69ecd3c2f1424a3a264c9418,MED-0731846867f11f728f3bfd8e,MARKET,81,UNMATCHED_VALID,
SRCM-8b5a7d69426c160e98779b05,MED-345e7c6a1b24ed0a05f2bf02,MARKET,82,UNMATCHED_VALID,
SRCM-b59bac25dedc36a6ae33960e,MED-116a2d0b05cfa82d6f855d96,MARKET,83,UNMATCHED_VALID,
SRCM-24880d3534756ce3caa5f45b,MED-311d7af51d00b6adb2d74f4c,MARKET,84,UNMATCHED_VALID,
SRCM-60865cccd5d0a2dbf019bbfd,MED-c59c5427514e76bf6ad6952a,MARKET,85,UNMATCHED_VALID,
SRCM-4b86d443bb98556fe0a9250e,MED-d75562dc947e1cc961190564,MARKET,86,UNMATCHED_VALID,
SRCM-a0b60c2ad974199fe47cd59f,MED-e6811ff386990c6a5b82ecbd,MARKET,87,UNMATCHED_VALID,
SRCM-b949e345450e864eb64398ea,MED-e1c3b0d604425c315332b3a8,MARKET,88,UNMATCHED_VALID,
SRCM-353805db026fb7165ba4df05,MED-49b794d673a7e08a922c1f98,MARKET,89,UNMATCHED_VALID,
SRCM-15d937950bee14ffa917080e,MED-16684ceb423b6717a3639099,MARKET,91,UNMATCHED_VALID,
SRCM-b2368bc6abe46746d88dc223,MED-def1981af8e7e267af35f209,MARKET,92,UNMATCHED_VALID,
SRCM-48ee347d07f8f369e8540d2c,MED-785c34631ca4800ef4b69257,MARKET,93,UNMATCHED_VALID,
SRCM-87f135a7fc34cf85e3647a05,MED-a903083f08b6eed074622059,MARKET,94,UNMATCHED_VALID,
SRCM-8ba1f39e2a335454f5f50bc4,MED-b06a4dd2a0e41639919e756f,MARKET,95,UNMATCHED_VALID,
SRCM-359212c117fbd87c1b0bd7fd,MED-b49964d5b36afad2265b632b,MARKET,96,UNMATCHED_VALID,
SRCM-b5165e9bd6cf9f95fb2934b9,MED-f3bf6708ac99f417c8127d2d,MARKET,97,UNMATCHED_VALID,
SRCM-0e50b5ce9bd1f88e5cceba50,MED-050f62ce3d862e1c129e6cef,MARKET,98,UNMATCHED_VALID,
SRCM-5d56f52c2a2197a7db6d5a2c,MED-da03a240f068a82e60e5ce92,MARKET,99,UNMATCHED_VALID,
SRCM-719f1e9ec40a05010276d031,MED-d1037163d1e451395c4f0711,MARKET,101,UNMATCHED_VALID,
SRCM-aed6c4adf347fa761e22b24d,MED-5b961b6a3d3a00866caae96e,MARKET,102,UNMATCHED_VALID,
SRCM-dc4cf5f0f8ad22c944ef8be8,MED-ccab10e8dcdb03684905c68b,MARKET,103,UNMATCHED_VALID,
SRCM-9a35d250b67c6c6da697339f,MED-2fa19056b056a74cafeea6a5,MARKET,104,UNMATCHED_VALID,
SRCM-61c436124e129497606978ef,MED-a9dc1b41ad78b31c6b00c3c3,MARKET,105,UNMATCHED_VALID,
SRCM-a7e1569f8559b6ce58e60047,MED-caebf9811d61f2da7688f14a,MARKET,106,UNMATCHED_VALID,
SRCM-8288d33c48ad413e3e5e28d2,MED-35bc663ae69f80a704fc0a82,MARKET,107,UNMATCHED_VALID,
SRCM-95e83eee1094fa13deb4f911,MED-12f8f337a4d469ac79978d68,MARKET,108,UNMATCHED_VALID,
SRCM-b68460e568be5e57ee160f6b,MED-b203c353f242b817efc2aaf5,MARKET,109,UNMATCHED_VALID,
SRCM-5638c3a82e2a419f07b02d0a,MED-457d0b4d6f84d29e9b02216a,MARKET,110,UNMATCHED_VALID,
SRCM-e1ba5037cee0b486b1cf86b1,MED-ce2c78b934325a21469ef4e4,MARKET,111,UNMATCHED_VALID,
SRCM-1afa2357b002e967b3c6c452,MED-b62011bf6cd3b09a5724bd80,MARKET,112,UNMATCHED_VALID,
SRCM-67b52ffb16581de2854079eb,MED-cfb664c8e4c99d4fc28a3e7c,MARKET,113,UNMATCHED_VALID,
SRCM-3e6a62f0f004ad698500bf12,MED-bf5987403f4a3a6444b88424,MARKET,114,UNMATCHED_VALID,
SRCM-4d8ef1e6509c3f9e94545bca,MED-7b3755024061c63c2b6f6ce8,MARKET,115,UNMATCHED_VALID,
SRCM-a85195d629ed47285db1be00,MED-9e9d9664c62b8be0250e5d18,MARKET,116,UNMATCHED_VALID,
SRCM-080dc5004cf6968c39c651d5,MED-bc924ed7c475c8a76ff1453f,MARKET,117,UNMATCHED_VALID,
SRCM-a5c3bac0123568fffc786936,MED-5803fc213ff018d3f5dd0b64,MARKET,118,UNMATCHED_VALID,
SRCM-5f91bf13cfc90d687f107a91,MED-3de9458a9e32fdf711493d48,MARKET,119,UNMATCHED_VALID,
SRCM-e0b092a829909629803ab80f,MED-984345be3cc1ce86203462ef,MARKET,120,UNMATCHED_VALID,
SRCM-fd4db7988ca84790577ae588,MED-9915c948a81c713b378cb800,MARKET,121,UNMATCHED_VALID,
SRCM-f8ddde5c61c3d768eaf6f9f6,MED-ccdbf917190ca107656a0659,MARKET,122,UNMATCHED_VALID,
SRCM-547662e463325eb05285e6a5,MED-f8401b397464a7fb9c5d28c5,MARKET,123,UNMATCHED_VALID,
SRCM-580e164a3fcd258019ffe3d2,MED-32200f857181f99e2cc3b755,MARKET,124,UNMATCHED_VALID,
SRCM-d809aef49fe490447da679ce,MED-87a758c2c331bccee6f56634,MARKET,125,UNMATCHED_VALID,
SRCM-f7c84d911fd0ce9e9a8a85d7,MED-ea5072e9c825276f601c9db6,MARKET,126,UNMATCHED_VALID,
SRCM-0a4a49ea2b6b9f4630887911,MED-b894ac072b51ef4b738ae46d,MARKET,127,UNMATCHED_VALID,
SRCM-cd854cd35b1b48a1816f72e7,MED-8f81ec7fdf12275949453bc1,MARKET,128,UNMATCHED_VALID,
SRCM-e73d9c4fa19b8f5d2c4b76c1,MED-e426c6e52c4b821fdaa2fa24,MARKET,131,UNMATCHED_VALID,
SRCM-49cc32213800aeb6a9c99756,MED-37fac7c451f36e30d5d99209,MARKET,132,UNMATCHED_VALID,
SRCM-13d8470c021c0b9a9da1523b,MED-a0f0f3d710884f3dc62866b4,MARKET,134,UNMATCHED_VALID,
SRCM-b27390e356acc80e45250cd2,MED-b19e5510c6ff9365c26b7243,MARKET,135,UNMATCHED_VALID,
SRCM-3fea4e5a0042556b5b7c93de,MED-57b093a348f1ae6bd7b0de7a,MARKET,136,UNMATCHED_VALID,
SRCM-7d83ea67eb8f85d31b13338a,MED-65a5f44512de36d42ed8868e,MARKET,137,UNMATCHED_VALID,
SRCM-074ea98861010c3ba9d006ff,MED-6a7e593b8b5a9370a1d52018,MARKET,138,UNMATCHED_VALID,
SRCM-c5bfa8771e71535d1349cda7,MED-44555cd978d43d3b12c84e3b,MARKET,139,UNMATCHED_VALID,
SRCM-d2ff09c34437efa7b1b6f2df,MED-49dcc24e9434c333ad91418b,MARKET,140,UNMATCHED_VALID,
SRCM-05da7ac5eceb7b5f9bb9fd0f,MED-ac5e28b1ffd3bdf6fa4b726d,MARKET,141,UNMATCHED_VALID,
SRCM-48603e2ce7374c1a310e5f38,MED-3113777d0cd6fa02249c91ee,MARKET,142,UNMATCHED_VALID,
SRCM-1dda28dccc3349cd195eae22,MED-637428c8fb13e0552c14a062,MARKET,143,UNMATCHED_VALID,
SRCM-76fdb94e32612ee5e7a9ed23,MED-42932900b7a413dc94df1918,MARKET,144,UNMATCHED_VALID,
SRCM-b218a572b2931be4c51b05d1,MED-176b4258e966685bb1136b1e,MARKET,145,UNMATCHED_VALID,
SRCM-f7fcfedea8573c00a5c36bb8,MED-a7b5f994f193091e33ecb206,MARKET,146,UNMATCHED_VALID,
SRCM-24485ca16d154a22863e4e33,MED-2cb738552b0aca16a18009e5,MARKET,147,UNMATCHED_VALID,
SRCM-004bd9ee95dd9fa3129fef5a,MED-e228d00c4793df97f921e814,MARKET,148,UNMATCHED_VALID,
SRCM-9d9c15dea343a97eef574a13,MED-b75cee47b5035733f266d7bf,MARKET,149,UNMATCHED_VALID,
SRCM-22de40e433d02af7078d2c83,MED-4f63cb976339dcc4a776d614,MARKET,150,UNMATCHED_VALID,
SRCM-c9b5ec6f3854d82f65cc51a2,MED-9b63b783c7eb52ae98b34b33,MARKET,151,UNMATCHED_VALID,
SRCM-2ddb032b399c9c8ed82109f8,MED-d22cd2740d027ef4e8310af1,MARKET,152,UNMATCHED_VALID,
SRCM-f61b4397ec28e438cd6145d0,MED-c92dfb3f64f2729b6ab4ac24,MARKET,153,UNMATCHED_VALID,
SRCM-ed9c5244db703c5cdd999d98,MED-742826ec4360a3e873f6623e,MARKET,154,UNMATCHED_VALID,
SRCM-464080ebe94e2f73a079b28c,MED-baec59ce83b3d15628c047df,MARKET,155,UNMATCHED_VALID,
SRCM-d8136cfaa2164ba1ef774d74,MED-6470e664cefa4b897b114137,MARKET,156,UNMATCHED_VALID,
SRCM-ad5bd4378d99900714cd2539,MED-251d410a934c95b126126432,MARKET,157,UNMATCHED_VALID,
SRCM-b9978585dce81cf0c267671a,MED-c0575cee540540b17e4d9193,MARKET,158,UNMATCHED_VALID,
SRCM-e964dafb4b7dcfe8bece0e9e,MED-7ee88f583a25ca773d773b37,MARKET,159,UNMATCHED_VALID,
SRCM-d6a91ca1d46971aec08fa040,MED-751bb7b7fe1a1be02e6ad690,MARKET,160,UNMATCHED_VALID,
SRCM-c838313124c064c4b2a6271b,MED-609789af95eba346be5ea1bb,MARKET,161,UNMATCHED_VALID,
SRCM-30697a59b89a21c01c186cae,MED-4ad9d2229ec8fe39374bcdd7,MARKET,162,UNMATCHED_VALID,
SRCM-137bc4028d1aa4fb758b4aa3,MED-8c0f801fa26c30d2f765e104,MARKET,163,UNMATCHED_VALID,
SRCM-bb763c2fe28e3016e721cf9c,MED-d24a6609f9a79c83981b984a,MARKET,164,UNMATCHED_VALID,
SRCM-93739f93bfc66adaf8271e41,MED-3af36fcedcc348e251ecfd0b,MARKET,165,UNMATCHED_VALID,
SRCM-443b0eb0812bf56d282c925b,MED-3af36fcedcc348e251ecfd0b,MARKET,166,UNMATCHED_VALID,
SRCM-b6dbf165aed44552a9501e71,MED-11affd51a148c966b079cf2f,MARKET,167,UNMATCHED_VALID,
SRCM-5b7cf7b050fe455882511ac8,MED-6c3b209c66337a3bc7884a4e,MARKET,168,UNMATCHED_VALID,
SRCM-4c312a260496f961da72f564,MED-2db1b5279dd97a941b50b20f,MARKET,169,UNMATCHED_VALID,
SRCM-a5dcc173a35dca7e30fd25ca,MED-155f41bfac6607168cf6d59d,MARKET,172,UNMATCHED_VALID,
SRCM-0d3555e875eab478af3d4ffc,MED-184c7a6ba405f456122b41cb,MARKET,173,UNMATCHED_VALID,
SRCM-5be9ad02325d532924843cd6,MED-b20d3d89944bc89541d006ab,MARKET,174,UNMATCHED_VALID,
SRCM-78e91ffbbd3610ec353f70cc,MED-7641aa4c674aed343fba55a6,MARKET,175,UNMATCHED_VALID,
SRCM-bca879006800f3be9f42a7c1,MED-cc8888bc916622488f3acd5c,MARKET,176,UNMATCHED_VALID,
SRCM-55e26550599ce2d8d01ec902,MED-b5dca129ce799e55804dc671,MARKET,177,UNMATCHED_VALID,
SRCM-587bcf693c2eab2940d7a960,MED-f5455e2f373c2b9783695a9e,MARKET,178,UNMATCHED_VALID,
SRCM-385ebf6866bd8b7dc2dff58d,MED-667af7aa3d33122bca628a75,MARKET,179,UNMATCHED_VALID,
SRCM-6f9d3e57b81ee4761b3594b9,MED-12568e2741bf9c84a7a364ee,MARKET,180,UNMATCHED_VALID,
SRCM-0169b09743889d044f9d2e1a,MED-67b240dd74863259cdfd189d,MARKET,181,UNMATCHED_VALID,
SRCM-334c8998c5b39f2fccf86af8,MED-949dac6d17bafb88ac894166,MARKET,182,UNMATCHED_VALID,
SRCM-c1ae57deb3f156eb2c97619a,MED-cea4fa912123848ba77c0a88,MARKET,183,UNMATCHED_VALID,
SRCM-7cacd5eea15592662c2e3d13,MED-c166aa6da4c945b5fdf86b54,MARKET,184,UNMATCHED_VALID,
SRCM-ea6bb62f2a130cb150e6ed58,MED-99de7fb16918943f5fef0686,MARKET,185,UNMATCHED_VALID,
SRCM-f31ef0722e621e7070039a34,MED-d66704d6227d3b073bcdb781,MARKET,186,UNMATCHED_VALID,
SRCM-27c476b00ca0538b55eec446,MED-387744567acae9a1aefd7372,MARKET,187,UNMATCHED_VALID,
SRCM-017bbaa632b629b028fd0e9c,MED-02689ebedecc1069f2026deb,MARKET,188,UNMATCHED_VALID,
SRCM-12521f03ca898cbc6debf427,MED-f3eb682f2d801a9c687a4af9,MARKET,189,UNMATCHED_VALID,
SRCM-7869f35326ca43159b417946,MED-6b1b423b2231a3a67a88d5db,MARKET,190,UNMATCHED_VALID,
SRCM-d96e08decbe01242649773d6,MED-9108f1f1f315955e289f9608,MARKET,191,UNMATCHED_VALID,
SRCM-06ff22aea42c99060d46f45d,MED-0327d3cf0f60d335332875fa,MARKET,192,UNMATCHED_VALID,
SRCM-f6e7054711ad1287ef967f60,MED-3e27cef74933bfc159dc56df,MARKET,194,UNMATCHED_VALID,
SRCM-b13952860886eba0d1abd47d,MED-c69afc3a904195f403c42664,MARKET,195,UNMATCHED_VALID,
SRCM-e27a41ce22e94648cef858fe,MED-7438c7dc3d94675228a74177,MARKET,196,UNMATCHED_VALID,
SRCM-337337be4f7737d60b0b21f9,MED-e6c9991696f0ec3865084399,MARKET,197,UNMATCHED_VALID,
SRCM-5740730164665389bf207732,MED-9d66bee7eae5d4bef306772b,MARKET,198,UNMATCHED_VALID,
SRCM-ad3f30cd04a7c571e479328a,MED-34b858228b210b776e125f4a,MARKET,199,UNMATCHED_VALID,
SRCM-33030d724509d0dc77230da0,MED-866b28861c8416b5bee8b21b,MARKET,200,UNMATCHED_VALID,
SRCM-8e29202868bf899cf18170c1,MED-58e3f924abceafaa623f2bb0,MARKET,201,UNMATCHED_VALID,
SRCM-4c4aad93e30887c2531715e3,MED-6a210df386b69f00c20773e4,MARKET,202,UNMATCHED_VALID,
SRCM-dc03c2234e03d21b0b12dc6d,MED-078af78c5ef2c27750562896,MARKET,203,UNMATCHED_VALID,
SRCM-e4446837e2ecdc57863f11cf,MED-e291d8b60efc41edcfe1b2e4,MARKET,205,UNMATCHED_VALID,
SRCM-d13a3b7ebf6a731ecc828234,MED-d8903ffbfffdc434b28ab0ec,MARKET,206,UNMATCHED_VALID,
SRCM-6e2e148c27fd0a805b4290eb,MED-e4b654a7490b9f912d0cf533,MARKET,207,UNMATCHED_VALID,
SRCM-7aeafde0f7e34ce418cd6ceb,MED-e27919201a188e796459bbc9,MARKET,208,UNMATCHED_VALID,
SRCM-22aa8860d339f909166a103a,MED-04dd8d5915efb3de5233fb6e,MARKET,209,UNMATCHED_VALID,
