metric,value
canonical_medicines,53987
conflicts,8678
cross_source_merges,3399
ingredients,2372
invalid_rows,3
manufacturers,352
market_rows,21714
medicine_ingredients,74989
missing_or_unresolved_prices,15091
packages,37555
parse_failures,4072
possible_duplicates,38
prices,73637
priority_review_rows,50
registered_rows,36085
registrations,36082
savings_eligible_medicines,3376
source_links,57799
source_rows,57799
tier_a,3399
tier_b,41999
tier_c,8589
unmatched_source_rows,42321
