source_record_id,source_name,source_row_number,price_original,reason_code
SRCM-d3792635ff2d8815ca1a9ab6,MARKET,15152,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-d9bcb6029f17a44a9a4d99ec,MARKET,15185,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-8998bed918eafc0ceb21045d,MARKET,15228,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-f1a9a077120519b4e761cf81,MARKET,16088,,MISSING_OR_UNRESOLVED_PRICE
SRCM-48cd5e55f180ce74b44dcfd6,MARKET,16640,,MISSING_OR_UNRESOLVED_PRICE
SRCM-d7589ec11c362ec2f69fb8c4,MARKET,17012,,MISSING_OR_UNRESOLVED_PRICE
SRCM-0e7804f50115a309f8e1e591,MARKET,17024,,MISSING_OR_UNRESOLVED_PRICE
SRCM-02116c5d5899be5577b45acb,MARKET,17755,,MISSING_OR_UNRESOLVED_PRICE
SRCM-aa70040cc912e7d59df8e362,MARKET,17761,,MISSING_OR_UNRESOLVED_PRICE
SRCM-ba0b71c5842c9d44629e5179,MARKET,17762,,MISSING_OR_UNRESOLVED_PRICE
SRCM-06a5ba180cfac9f02aaf4b75,MARKET,17772,,MISSING_OR_UNRESOLVED_PRICE
SRCM-cab3d91113ede8bf57bf107a,MARKET,17839,,MISSING_OR_UNRESOLVED_PRICE
SRCM-5a2cfc5aba4b3af04e603f63,MARKET,17840,,MISSING_OR_UNRESOLVED_PRICE
SRCM-0694a402e64fdfaee0684101,MARKET,17905,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-fb3683c5e5b3dbdd83bd00af,MARKET,18389,,MISSING_OR_UNRESOLVED_PRICE
SRCM-000e29e1933fa4f0ffb2100a,MARKET,18846,,MISSING_OR_UNRESOLVED_PRICE
SRCM-7ed7746178d6c3fdf49808ad,MARKET,19913,Price Unavailable,MISSING_OR_UNRESOLVED_PRICE
SRCM-d55c965fa387164a998078e1,MARKET,20166,,MISSING_OR_UNRESOLVED_PRICE
