manufacturer_id,display_name,normalized_name,source_verified
MFR-2d44e9f203491e56b387fbc6,Kumudini Pharma Ltd.,kumudini pharma limited,0
MFR-2d7b8d010a533d39c73bc191,Albion Specialized Pharma Limited,albion specialized pharma limited,0
MFR-2db50205921a2ea6069d5586,Global Heavy Chemicals Ltd.,global heavy chemicals limited,0
MFR-2de851824339f8a16c5c0883,Efroze Chemical Industries Ltd,efroze chemical industries limited,0
MFR-2e1320cbd0155b3302d91026,Eisai Pharmaceutical company,eisai pharmaceuticals company,0
MFR-2e5c04fecaee496e3eb0b5a0,FnF Pharmaceuticals Ltd.,fnf pharmaceuticals limited,0
MFR-2e74fa571a393b6c5be30b97,AFC Agro Biotech Ltd.,afc agro biotech limited,0
MFR-2fc92e37e1fdf48cd6c52b18,Save Pharmaceuticals Ltd.,save pharmaceuticals limited,0
MFR-3014fa04fb77e74b90040186,"Square Pharmaceuticals PLC, Pabna",square pharmaceuticals plc pabna,0
MFR-306387b999ec6d3bd3308958,Bronson  Laboratories (BD) Ltd.,bronson laboratories bd limited,0
MFR-318260333820ba46edae18cb,Shinil Pharma Limited,shinil pharma limited,0
MFR-31b453edf97158875c7fcbf5,"Xellia Pharmaceuticals, Denmark",xellia pharmaceuticals denmark,0
MFR-31b9323517ed7b27833b56ea,Square Pharmaceuticals Ltd.,square pharmaceuticals limited,0
MFR-32786a3f401438b70565fa49,EMCS Pharma Limited,emcs pharma limited,0
MFR-33d5a1933182a130a909e3c0,Hudson Pharmaceuticals Ltd.,hudson pharmaceuticals limited,0
MFR-3569e22951958a9b7a9c33ea,Johnson & Johnson,johnson johnson,0
MFR-3600ad804a55e79d3274b26b,Skylab Pharmaceuticals Ltd.,skylab pharmaceuticals limited,0
MFR-379a39e1b1546e288852ca73,Apex Pharma Ltd.,apex pharma limited,0
MFR-390dbf28b2813831ab018345,Bristol Pharma Ltd.,bristol pharma limited,0
MFR-391e056ddc7c791ca5a65a2d,Sun Pharmaceutical Ltd.,sun pharmaceuticals limited,0
MFR-39208abd8e352a6233df9bfb,Ziska Pharmaceuticals Ltd.,ziska pharmaceuticals limited,0
MFR-3967acc3dabe617a4516baf5,Mundipharma (Bangladesh) Pvt. Ltd.,mundipharma bangladesh private limited,0
MFR-3ce0f08b35799d4a758e6328,Linde Bangladesh Limited,linde bangladesh limited,0
MFR-3d7ef7bec844106badf4abc8,National Drug Company Ltd.,national drug company limited,0
MFR-3dad2a22a01ec5e5e7dd6f60,World API Chemical Industry Ltd.,world api chemical industry limited,0
MFR-3dd78789266234fd0528f581,"MSF Pharmaceuticals Ltd.,",msf pharmaceuticals limited,0
MFR-3e757c35bc58d5b2c976e996,Incepta Pharmaceuticals Ltd. (Dhamrai Unit),incepta pharmaceuticals limited dhamrai unit,0
MFR-3e8a504d8ed3d882b830c897,Genzyme Corporation,genzyme corporation,0
MFR-3e90c27d9474e2d8c3e4036e,Reliance Pharmaceuticals Ltd.,reliance pharmaceuticals limited,0
MFR-3e98943e3e15814b12c90e8f,Chairon SPA,chairon spa,0
MFR-3ec12e3cfc96c542490dd12e,Purnava Limited,purnava limited,0
MFR-41f34697e38395194a2e3241,Leo Pharmaceuticals Ltd.,leo pharmaceuticals limited,0
MFR-429fd456ce43a43c211bebca,Gonoshasthaya Basic Chemical Ltd.,gonoshasthaya basic chemical limited,0
MFR-4311ceeba70e860fb4fc8f3e,Synovia Pharma PLC.,synovia pharma plc,0
MFR-431f073a41c807593cc20a27,Libra Pharmaceuticls Ltd.,libra pharmaceuticls limited,0
MFR-44394fbb3282d842823a858d,Choongwae Pharma Corporation,choongwae pharma corporation,0
MFR-44d758fc5381ae4d31a1a926,Desh Pharmaceuticals Ltd.,desh pharmaceuticals limited,0
MFR-45f1e639de8eeae4e7180d44,"Gedeon Richter, Hungary",gedeon richter hungary,0
MFR-45f6afe8e9892c0fa20a6512,Sunman-Birdem Pharma Ltd.,sunman birdem pharma limited,0
MFR-45fba28986ba60f12624f841,Apollo Pharmaceutical Laboratories Ltd.,apollo pharmaceuticals laboratories limited,0
MFR-470e1a9464e1a5eb27e31f11,United Pharmaceuticals Ltd.,united pharmaceuticals limited,0
MFR-4814442f34aee5431c02fe88,Bengal drugs Ltd.,bengal drugs limited,0
MFR-482b957d05a7e41c93d13ebb,Alien Pharma,alien pharma,0
MFR-4835fea243f598462f6c6493,SMC Enterprise Limited,smc enterprise limited,0
MFR-4862c7653328d48b3be78e53,Silco Pharmaceutical Ltd.,silco pharmaceuticals limited,0
MFR-48bb3ecc84356c451c9a17b3,Team Pharmaceuticals Ltd.,team pharmaceuticals limited,0
MFR-4950d56c76b9884753f50b96,Kyowa Hakko Kogyo,kyowa hakko kogyo,0
MFR-495660daa507f452a3a11f70,Sodical Chemical Ltd.,sodical chemical limited,0
MFR-49ffc7bced43b4685b089c3e,The White Horse Pharma,the white horse pharma,0
MFR-4a0b1fc6fe90393ebe7c933f,UNIDO Pharmaceuticals Ltd.,unido pharmaceuticals limited,0
MFR-4a27329a574c3063e096ac3e,"Kedrion Biopharma, Italy",kedrion biopharma italy,0
MFR-4ab68cdc9007954e3db447ac,Phoenix Chemical Laboratory,phoenix chemical laboratories,0
MFR-4b1dcb5123204fa69d6c382d,MedRx Life Science Ltd.,medrx life science limited,0
MFR-4c2c85434e1051fd311a9c01,NIPRO JMI Pharma Limited,nipro jmi pharma limited,0
MFR-4c565d52a474654b56e219f2,"Laboratorio Varifarma, Argentina",laboratorio varifarma argentina,0
MFR-4defe91ca81a921dbffaea92,Roche Bangladesh Ltd.,roche bangladesh limited,0
MFR-4e1ea4496b519a032eafaa12,Pristine Pharmaceuticals,pristine pharmaceuticals,0
MFR-4f5ceb1cf7f78ba44fb3ab00,C2C Pharma Limited,c2c pharma limited,0
MFR-504a29ff0e127b3c9a1702e6,Libra Infusion Limited,libra infusion limited,0
MFR-52cff5abaedc2f6928d00971,Chemist Laboratories Ltd.,chemist laboratories limited,0
MFR-52ef99849bc4ae54af6f3a5d,Cosmo Pharma Laboratories Ltd.,cosmo pharma laboratories limited,0
MFR-5417d7357ea0b212133ac599,Goodman Pharmaceuticals Ltd,goodman pharmaceuticals limited,0
MFR-54aead31c54b98a8c69a6fcf,Fabrique en France,fabrique en france,0
MFR-54e1e6c7dfd33e33b4ba1fcb,"Beximco Pharmaceuticals Ltd., Kaliakoir",beximco pharmaceuticals limited kaliakoir,0
MFR-552a4464ce396bde1c351656,"Lyomark Pharma, Germany",lyomark pharma germany,0
MFR-55edd0afe31f19d877b4c5b7,Dabur India Limited,dabur india limited,0
MFR-569744f6583c3396ffdaf898,Grifols Biologicals LLC,grifols biologicals llc,0
MFR-5a8b10c7a437dc7413466b58,Pharma Resources,pharma resources,0
MFR-5b41138fb75b1ddfdf298734,River Pharma,river pharma,0
MFR-5b767d1dcd54c79160549a57,"Spectra International Ltd.,",spectra international limited,0
MFR-5cf1fe6f62f07fb249c32aaf,Pharmik Laboratories Ltd.,pharmik laboratories limited,0
MFR-5d7db9faa558f76c2a1aa8f2,Rampart-Power Bangladesh Ltd.,rampart power bangladesh limited,0
