source_record_id,source_name,source_row_number,source_record_key,reason_codes
SRCR-32c781893d159ec0219dc827,REGISTERED,3777,3776,MISSING_BRAND;REGISTRATION_IDENTITY_CONFLICT
SRCR-6176d18168830795cfc2fb34,REGISTERED,11373,11372,MISSING_BRAND;NONSTANDARD_REGISTRATION_REFERENCE
SRCR-86de78a4e6fcaf52ec1055ba,REGISTERED,33003,33002,MISSING_BRAND;NONSTANDARD_REGISTRATION_REFERENCE;VETERINARY_ONLY
