source_record_id,source_name,source_row_number,generic_original,strength_original,parse_status,parse_reason
SRCR-6538255dd600ea6de0472628,REGISTERED,33654,Cobalt Gluconate + Copper Gluconate + Cyanocobalamin + D-Pantothenol + Ferric Ammonium Citrate + Nicotinamide + Pyridoxine Hydrochloride + Riboflavine-5-Phosphate + Vitamin B1,7 mg + 2 mg + 1.2 mg + 200 mg + 150 mg + 1000 mg + 50 mg + 20 mg + 750 mg/10 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-93bc07480f0dbfb372b62036,REGISTERED,33655,Sulphamethoxazole + Trimethoprim,20 gm + 4 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-37ac4b9a7a546e62fd7307a7,REGISTERED,33659,Adapalene + Benzoyl Peroxide,.1 gm + 2.5 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-ab58d2eb257b8c3f1e8eec31,REGISTERED,33671,Ciprofloxacin + Dexamethasone,300 mg + 100 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-628c7d56bcdb90693b5b8500,REGISTERED,33672,Chloramphenicol + Dexamethasone,5 mg + 1 mg/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-6a73a8914a1c5fcccd70c1a2,REGISTERED,33673,Clobetasol Propionate + Neomycin Sulphate + Nystatin,50 mg + 500 mg + 100 Lac IU/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-dc48c77f40297a9ebda5c885,REGISTERED,33674,Clobetasol Propionate + Neomycin Sulphate + Nystatin,50 mg + 500 mg + 100 Lac IU/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-35a73becc2688624466d5cb5,REGISTERED,33682,Dexamethasone + Tobramycin,100 mg + 300 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-9425e26fc6893df78174edf6,REGISTERED,33683,Betamethasone + Clotrimazole,100 mg + 1 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0884d85efb1daeec0156e356,REGISTERED,33691,Menthol + Methyl Salicylate,8 gm + 30 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-e90893811b85f3313c4b7fae,REGISTERED,33694,Sodium Selenate + Vitamin E,.5 mg + 50 mg/ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-0ffe7fdc4d2523e0afa5eba4,REGISTERED,33698,Erythromycin + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-5d1d13bef4d2604012e642c6,REGISTERED,33727,Fluticasone Propionate + Salmeterol,50 mcg + 25 mcg/Metered Inhalation,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-d80c0887017e5c6a45f011cf,REGISTERED,33746,Vitamin A + Vitamin D3 + Vitamin E,500 Lac IU + 75 Lac IU + 5000 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-2d6f48426e00570d550dc755,REGISTERED,33747,Vitamin A + Vitamin D3 + Vitamin E,150 Lac IU + 22.5 Lac IU + 1500 mg/30 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-b30304fc952d34ffcc1e8419,REGISTERED,33748,Vitamin A + Vitamin D3 + Vitamin E,50 Lac IU + 7.5 Lac IU + 500 mg/10 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-a2345d31c604aca528fe0470,REGISTERED,33751,Clorsulon + Ivermectin,3 gm + 300 mg/30 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-b72ef771a76300bbc44b8edc,REGISTERED,33752,Clorsulon + Ivermectin,500 mg + 50 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-a264b3bf7c90de1fc13401fc,REGISTERED,33756,Glycerine + Liquid Sugar,.75 ml + 1.93 ml/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-aee313184dc85ada5b73c9f8,REGISTERED,33774,Meloxicam + Paracetamol,100 mg + 750 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-8144634877051d62be9668e7,REGISTERED,33775,Meloxicam + Paracetamol,200 mg + 1.5 gm/10 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-a8e6b0a19c61efa91f2651fb,REGISTERED,33776,Benzathine Penicillin G + Dihydrostreptomycin + Procain Penicillin G,10 Lac IU + 2 gm + 15 Lac IU/10 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-23b3a4390456c89db0afc300,REGISTERED,33777,Benzathine Penicillin G + Dihydrostreptomycin + Procain Penicillin G,50 Lac IU + 10 gm + 75 Lac IU/50 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-ae658d656b3efa078a759df9,REGISTERED,33790,Polyethylene Glycol 400 + Propylene Glycol,400 mg + 300 mg/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-46bdec9e647059f4f24a8764,REGISTERED,33810,Clindamycin Phosphate + Tretinoin,1.2 gm + .025 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
