medicine_id,market_source_records,registered_source_records,match_method,tier
MED-02e34e7977736c76d2255700,SRCM-b2c856947740a01e772d37f3,SRCR-bb1e3fec39f31c6a3efec38c,EXACT_STRUCTURED_IDENTITY,A
MED-02eef66fdc4cd5f5fbed4f44,SRCM-cf2f1af82d2a40594ce94da6,SRCR-5f2dc37900260f86ee3526a8,EXACT_STRUCTURED_IDENTITY,A
MED-02fa4fd19b9e6fb8deaeebfa,SRCM-0e6531785eddc863bd4126b8,SRCR-5c65c47608b8d62f74bf3c9a,EXACT_STRUCTURED_IDENTITY,A
MED-032d674475dce981fbf3ece0,SRCM-5c385059adabd8523481e5e4,SRCR-f1189f4fcffd995c3bba47b7,EXACT_STRUCTURED_IDENTITY,A
MED-0347e771673b6074226743f4,SRCM-0987121e63810cfbf4f799bc,SRCR-8a9d283d0e7004bdc9279f29,EXACT_STRUCTURED_IDENTITY,A
MED-03482b21fb90365ac1a2cdc1,SRCM-c9aa465ab2234bd10f436ebd,SRCR-cef8c28b7122e0dc456bc4db,EXACT_STRUCTURED_IDENTITY,A
MED-03498143c81db104c2de7c65,SRCM-03cc5a2835cb576c16eb2240,SRCR-8cba7b775ee38c244648e726,EXACT_STRUCTURED_IDENTITY,A
MED-0359757ca71b27fe732d92f8,SRCM-1329fc28f365e629f7bd1019,SRCR-d17e461fca459e9bbed3a748,EXACT_STRUCTURED_IDENTITY,A
MED-03674cd691f87a28031f184b,SRCM-234d3fc8b7b5ace7443db009,SRCR-821d6df3d94ac28a88a99a81,EXACT_STRUCTURED_IDENTITY,A
MED-03760f9455fa1e89da8f16de,SRCM-7749de8db063048931cbd633,SRCR-8bcd0189a24d305ff042df9f,EXACT_STRUCTURED_IDENTITY,A
MED-03768c7d27e2d966b8a7b62c,SRCM-364002b4a7d6641af9db337b,SRCR-c5008268991969fc90f016a5,EXACT_STRUCTURED_IDENTITY,A
MED-039d2d010c852efc0ff1acdb,SRCM-9a469bc90168740f3dbdf117,SRCR-7d7d17dc093ea34236c4cd59,EXACT_STRUCTURED_IDENTITY,A
MED-03b3c1ab44eabda6a5e9e791,SRCM-469039eae40e395887a82310,SRCR-f7e351f9494ed1c50ddb1dc7,EXACT_STRUCTURED_IDENTITY,A
MED-03e25454665728b810e5d6c9,SRCM-e9bff7e65662260c60170039,SRCR-a5e590cb36de7152f1a470b7,EXACT_STRUCTURED_IDENTITY,A
